user_id,item_id,rating,category,timestamp
1,101,5,Arts,2024-05-09 10:00:00
1,102,4,Music,2024-05-09 10:15:00
1,103,3,Food,2024-05-09 10:30:00
1,101,4,Arts,2024-05-09 10:45:00
1,104,5,Food,2024-05-09 11:00:00
1,105,3,Music,2024-05-09 11:15:00
1,106,4,Arts,2024-05-09 11:30:00
1,107,5,Food,2024-05-09 11:45:00
1,108,4,Science,2024-05-09 12:00:00
1,109,3,Food,2024-05-09 12:15:00
1,110,5,Music,2024-05-09 12:30:00
1,111,4,Arts,2024-05-09 12:45:00
1,112,5,Food,2024-05-09 13:00:00
1,113,3,Arts,2024-05-09 13:15:00
1,114,4,Food,2024-05-09 13:30:00
1,115,5,Science,2024-05-09 13:45:00
1,116,3,Music,2024-05-09 14:00:00
1,117,4,Food,2024-05-09 14:15:00
1,118,5,Arts,2024-05-09 14:30:00
1,119,3,Music,2024-05-09 14:45:00
1,120,4,Food,2024-05-09 15:00:00
1,121,5,Science,2024-05-09 15:15:00
1,122,3,Arts,2024-05-09 15:30:00
1,123,4,Music,2024-05-09 15:45:00
1,124,5,Food,2024-05-09 16:00:00
1,125,3,Science,2024-05-09 16:15:00
1,126,4,Arts,2024-05-09 16:30:00
1,127,5,Food,2024-05-09 16:45:00
1,128,3,Music,2024-05-09 17:00:00
1,129,4,Science,2024-05-09 17:15:00
1,130,5,Arts,2024-05-09 17:30:00
1,131,3,Food,2024-05-09 17:45:00
1,132,4,Music,2024-05-09 18:00:00
1,133,5,Science,2024-05-09 18:15:00
1,134,3,Arts,2024-05-09 18:30:00
1,135,4,Food,2024-05-09 18:45:00
1,136,5,Music,2024-05-09 19:00:00
1,137,3,Science,2024-05-09 19:15:00
1,138,4,Arts,2024-05-09 19:30:00
1,139,5,Food,2024-05-09 19:45:00
1,140,3,Music,2024-05-09 20:00:00
1,141,4,Science,2024-05-09 20:15:00
1,142,5,Arts,2024-05-09 20:30:00
1,143,3,Food,2024-05-09 20:45:00
1,144,4,Music,2024-05-09 21:00:00
1,145,5,Science,2024-05-09 21:15:00
1,146,3,Arts,2024-05-09 21:30:00
1,147,4,Food,2024-05-09 21:45:00
1,148,5,Music,2024-05-09 22:00:00
1,149,3,Science,2024-05-09 22:15:00
1,150,4,Arts,2024-05-09 22:30:00
1,151,5,Food,2024-05-09 22:45:00
1,152,3,Music,2024-05-09 23:00:00
1,153,4,Science,2024-05-09 23:15:00
1,154,5,Arts,2024-05-09 23:30:00
1,155,3,Food,2024-05-09 23:45:00
1,156,4,Music,2024-05-10 00:00:00
1,157,5,Science,2024-05-10 00:15:00
1,158,3,Arts,2024-05-10 00:30:00
1,159,4,Food,2024-05-10 00:45:00
1,160,5,Music,2024-05-10 01:00:00
1,161,3,Science,2024-05-10 01:15:00
1,162,4,Arts,2024-05-10 01:30:00
1,163,5,Food,2024-05-10 01:45:00
1,164,3,Music,2024-05-10 02:00:00
1,165,4,Science,2024-05-10 02:15:00
1,166,5,Arts,2024-05-10 02:30:00
1,167,3,Food,2024-05-10 02:45:00
1,168,4,Music,2024-05-10 03:00:00
1,169,5,Science,2024-05-10 03:15:00
1,170,3,Arts,2024-05-10 03:30:00
1,171,4,Food,2024-05-10 03:45:00
1,172,5,Music,2024-05-10 04:00:00
1,173,3,Science,2024-05-10 04:15:00
1,174,4,Arts,2024-05-10 04:30:00
1,175,5,Food,2024-05-10 04:45:00
1,176,3,Music,2024-05-10 05:00:00
1,177,4,Science,2024-05-10 05:15:00
1,178,5,Arts,2024-05-10 05:30:00
1,179,3,Food,2024-05-10 05:45:00
1,180,4,Music,2024-05-10 06:00:00
1,181,5,Science,2024-05-10 06:15:00
1,182,3,Arts,2024-05-10 06:30:00
1,183,4,Food,2024-05-10 06:45:00
1,184,5,Music,2024-05-10 07:00:00
1,185,3,Science,2024-05-10 07:15:00
